meta,id,tweet,sentiment,emotion
meta,13515,@aajtak Jai shree ram Jarurat nahi aandolan ki Guruji Modi h to Mumkinn h Pls trust our PM,positive,joy
meta,34678,Phir se lut chalu ho gaya Bjp walo tumhe kuch chut mil raha hai ya nahi Milna to chahiye q ki … https//tco/nWgui2bf1J,neutral,others
meta,11310,@AmarUjalaNews Jinko khud Nahi pta ki RamcharitManas kya hai wo bhej rahe h BJP neta ko phle khud samjhna Chahiye f … https//t.co/n9PLv1pkZX,neutral,disgust
meta,27883,Abe yhi hai ram rajya kya Jisme sbhi sale harami ho Jo sale itne berahm se maar rhe ho Modi dekhna be sale tere … https//t co/PsshL1I0ma,negative,anger
meta,16679,@nsfw _ hs Maybe I'll faing and I won't feel a thing.,neutral,others
meta,26920,Duniya me dil koi kabhi na dadka hota Dadkha hai dil a yar mil ye pyar ka izhar hai Kaho na pyar hai Do premi do p … https//t co/o0IDomFJ3N,neutral,others
meta,35982,I'm poor poor-ever happy kase God is with me 😇,negative,others
meta,14603,Madam @SushmaSwaraj ji we always miss you as a # videsh _ mantri,positive,sadness
meta,37801,@abhisar _ sharma @newsclickin Saw the episode.Nice one sir.Maan gaye yaar @abhisar _ sharma sir aap bahut himmat wa … https//t.co/3lTcaQDDcN,positive,joy
meta,18824,@theskindoctor13 Happy Birthday Doctor sahab 💐 bhagwaan aapko khush or swasth rkhe or aap hme aise hi apni creativity se hansaate rhe 🎂,positive,joy
meta,21543,@IndiaToday Teri kimat dokodi ki ho gayi ... amit shah will capture telegana soon ... kcr will resign ...,negative,disgust
meta,19116,@sahibasafeena @RubikaLiyaquat ek bhe poj bhai wala mahe hai sab chipka ker rakhy hai yeh bhai bahen ka pyar hai ..… https//t.co/KFTAtl7vF9,positive,others
meta,44557,@MamataOfficial Mamta Banerjee na Jane ho kyA Hai tumko ye desh Ram Ka Hai # JaiShriRam haar Ka ghum m dubi ho bus b … https//t.co/3LgIYpXog9,negative,surprise
meta,2359,@sakshijoshii Still far better than MMS govt ... so if u r so connected with numbers and economy .... can u share your … https//t.co/CLFqjOosU9,neutral,others
meta,1445,@sunoo _ chanda make a gentle and nice relation with someone .... life me kisi k sahare ki zarort parti ha,neutral,others
meta,5440,@sunoo _ chanda should i hope fr the best - D,neutral,others
meta,7229,Woo hoo Cricket World Cup starts today ! Good luck to hosts @englandcricket in the tournament - hope for a good st … https//t co/ChIhIwhneV,neutral,others
meta,27364,@munneb11 Family background ka keh ni sqtai cause kaee ldkiyan fake naam sai ids banati h n pics upload krti bina ghr walu ki ijazat k 😕😕,neutral,sadness
meta,40382,@drmanojrajoria @MaheshY01559101 Mp sahab dr manoj rajoriya g ko Jeet ki haardik subhkamnaye,positive,joy
meta,27897,Koi apna nahi ghum k maare murdered raped fucked shredded to bits hai hum ~,negative,fear
meta,35758,Back to 100% again !! KARATE CHOPPED THAT COLD QUICKLY.Feels good to FEEL GOOD * waaaaag *,positive,joy
meta,38461,RT @beingAshu52627 @ArvindKejriwal Sadji kisi ne bheja h apke liye https//t.co/8zKPpflz7H,neutral,others
meta,32467,@nitin _ gadkari Sir badhai ho Sir Agra ke meyar ko smjhao kuch kare .... Modiji Raj is ..... RAMRAJ .... BUT ... https//t.co/4KbUGTe0Nu,positive,joy
meta,33309,RT @DilliDurAst This painting has 40 famous Indian ads hidden in it.1) Which is tne favourite symbol of an ad you can spot ? 2) Anyone k …,neutral,others
meta,10989,I ’ m so fckn pist I lost my damn YSL shades,negative,sadness
meta,18753,I give Araki a lot of credit for how kuch detail and work goes to making his characters Then again hes been at it … https//t co/utECL4gfBV,positive,others
meta,25483,modi ji ye sab to hota rahega lekin pehle Ram mandir banawao ... Dhara 370 hatao .. Hindurastra ghosit karwao ... Logo … https//t.co/6GRaQXH2Hz,positive,others
meta,13396,@IndiaToday Pagol kuute ke samne roti dalna sahi nahi hai yeh sholay me thakur saab bolke geye the logbog 50 saal p … https//t co/I8q5MZX8Co,positive,others
meta,7897,RT @SmallssBabeyy IM SO PROUD OF YOU !!!! 💚🎓 I LOVE YOU .. congratulations to you + all your homies ! https//t.co/oBSI471rcj,positive,joy
meta,26915,Muslims muslims muslims jab musalmaano ko hi unki khudki izzat ki khud ke desh ki khud ke hone ki khud ki naslo ki … https//t co/DxIU1pzw6E,negative,sadness
meta,8238,@AkhileshPSingh Hadd hai kamine pan ki Aapko pata hai Ye kev ' jail ' gaya hai Ye bina order ke railway platform pa … https//t.co/fAkYA6jftJ,negative,anger
meta,28701,@SMuk25 @IndianExpress It's not vishwas that u guys want .. Its Modiji that u dont want .. Even if God comes and tel … https//t.co/f457Nj05Da,negative,others
meta,40128,@roflvoice Party and candidate's nahi dekhe hoge bas modi ko jitana hey kar ke vote diye,neutral,others
meta,14505,@Asimrafi9 @Chaudharyumard Nhi g Ham AP ki trha nhi he ptwari ki olad ham Pakistani he aur Pakistan sy pyar krty.H … https//t.co/ExmYdNgPoY,positive,joy
meta,22273,@MdKashifAli10 @cpimspeak @narendramodi @manakgupta Tum kabhi nahi sudhroge fact check fir bat kar chutiye,negative,anger
meta,35558,@abpanandatv Jai Shri Ram haZ turned out to be the Vande Mataram of the day ! @irajdeep @republic @amitmalviya … https//t.co/JXu5pjti3B,neutral,joy
meta,8199,@hardikpandya7 best wishes for world cup and Eid Mubarak to you from MUZAFFAR Hasan National general secretary LJP … https//t co/6Uyv3orrUX,neutral,joy
meta,2144,@sksushilm Aarthik madad nahi wo Pakistan ki aawam ka hak tha.Aur yeh RSS ke propoganda publication apne pas hi rakho.,neutral,others
meta,23844,Ye kaafi hai ki ham dushman nahin hain Wafa'dari ka daawa kyun karen ham – thinking about Something,neutral,others
meta,8910,@WeirdlyProbable @Nishupedia Actually inke pass ab naaz karne ke liye kuch bacha hi nahi hai to haqikat pasand ban … https//t.co/1gMSiSJQca,negative,sadness
meta,33576,RT @AfghanNextDoor No one Me tryna find the perfect watermelon https//t co/LP9UEnxp6n,neutral,others
meta,28206,@sweetnsaltyy _ @shoaib100mph match zaror dekhna dukh phr jhalna ye khel hai talent ka na parchiyo ka baserra,neutral,others
meta,32666,@jungkookmh He sort of like caused my love for Pomeranians 🥺 here is a picture of her with her chew toy in her litt … https//t co/ZskQI8Ilww,positive,joy
meta,26044,@Iaurentsai _ awwwie thank you Lau.good morning ?,positive,joy
meta,19034,RT @kunalkamra88 You mean our problem was being democratic ? Vivek tum jo katori main attention ki bheek mang rahe ho uspe khoon laga hai .…,negative,others
meta,13152,Greetings to dearest friend shri @Kuldeepsinh92 ji on their birthday maa aashapura bless you with lots of love happ … https//t.co/13JDszXmdO,positive,joy
meta,17992,RT @iam _ wonda In this month of Ramadan all my positive heart desires and prayers for my family and friends will be granted.Insha Allah …,positive,joy
meta,23129,RT @Guy _ marwaadi Roshan Oye Roshan meh JCB ki khudai dekh k aaya Roshan https//t co/RQQ5V4glFP,neutral,others
meta,15581,@indiatvnews @ZeeNewsHindi @RajatSharmaLive @sudhirchaudhary @INCIndia @yadavakhilesh @ArvindKejriwal & all d other … https//tco/M6caf9GgUS,neutral,others
meta,8604,RT @ghost _ spotter @anikjaat8 Ye sirf pauranik kathaon mein payi jaati thi Vaastavikta se iska koi sambandh nahi hai,neutral,others
meta,20097,RT @ANI BJP leader Vishwas Sarang in Bhopal Tabaadla udyog Congress ki sarkar mein phal raha hai vidhayak is vyapar ke kendrabindu par h …,neutral,sadness
meta,5225,@DivyanshMohit @GulBukhari Tum apny Indian ki fikkar Karo Pakistan ko hum khud dykh lyngy.Mukti bahini 2 nahi ban … https//t.co/jz4XMvvWLU,neutral,others
meta,31039,@RoflGandhi _ Up ki sarkar jiski bunyaad pe tiki h wo aaj apne.Mukaam pe pahunch gayi .... laghusanka ki deri h fir … https//t.co/PwvrxfVW5r,positive,others
meta,41953,ALVIDA JUMMA-2019 MUBARAK TO ALL ... DUWA KI GUZARISH ..... https//t.co/MvICCAMg6M,positive,joy
meta,43996,@mlkhattar Sir ye Modi ke name pr vot pada h ap Kabhi ao Yamuna Nagar ki Rajiv garden bank calony me Dekho logo Ka … https//t.co/f9RHnZqJtc,neutral,others
meta,18866,@LambaAlka Jyda gyan na pelo Aur democracy ka majak udana band kro Thoda competition Dete aur ye baat bolte to thi … https//t.co/gAwewitgp3,positive,anger
meta,28950,@AnkushMourya11 @NaushadAlee @GAUAHAR _ KHAN Bhai Ankush khush raho ! I'll pray for u .. Coz I know Nafrat se kabhi kis … https//t.co/aWE3bt4IjA,positive,joy
meta,36545,Now this i too much ab sare tweet arsal ke support me 😠Jab jiya ka man nhi and wo chai nhi bana sakti yasit ke liy … https//t.co/mn6WSUMi84,neutral,sadness
meta,2745,@sardanarohit jaaz saab ko salo saal ke pending case ko soultion me maza nahi aata * inko to public paise monthly case miljaye *,negative,sadness
meta,38245,RT @satguruterirhmt # SecretOfPositivity @derasachasauda @Gurmeetramrahim papaji Dhan dhan satguru tera hi aasra Good morning ji mugje tu …,positive,joy
meta,31302,_• She is not a bachi piece or maal _• She is ( Rehmat ),neutral,disgust
meta,11709,RT @kch _ mat _ kaho Dil se to nahi ho or wese shakal ka to mjhe pata nahi but aesa kch matter nahi krta 😛https//t.co/wt1UGn42OS,neutral,others
meta,20225,thx to every single memer for making our day u guys r amazing 😄# jcb jindabaad … # JCBKiKudhayi # JCBkiKhudaai https//t co/ZuEg6SABMG,positive,joy
meta,34859,RT @ZeeTV Non-stop hoga entertainment par kaun dega performance sabse best ? Watch out for # SRGMPLilChamps Sat-Sun 9 PM.@BeingSalmanK …,neutral,others
meta,42434,@Shayri _ Here @kanhaiyakumar To fir jo Atankwadi uski Jaat musalman q hoti or jo all ready musalman h woh yeh baat q … https//t.co/5KKhApkIRr,negative,sadness
meta,23986,Tum hume yun bhula na paoge .... https//t.co/W39DcIAnG6,neutral,others
meta,37553,@Squirrel _ Soul Tony stark ka dil toh ye leke ghum rha hai 😂😂,positive,joy
meta,4443,@MixedRaita Gunde saale ..... Ac hall me baith k Mt bhonk be @_ YogendraYadav aukat h to Gurgaon k kisi ek bnde ka c … https//t.co/aitb2VeuZl,negative,anger
meta,37414,Bengal bjp mei tmc ke kuch galat neta apne app ko bachane ko jogdan kar rahe he isse party ka support barne ke baj … https//t.co/j2fXr0O0IM,neutral,others
meta,26700,RT @EmenaIo I ’ m actually not that arsed about Liverpool winning it good on them.The Premier League joke still stands they already had m …,positive,others
meta,19318,happy birthday pretty girl 😻thank u for all the good agnes memories.cards soon ? HAHAHAHAHA enjoy your day !!!!… https//t.co/UO08KHMMws,positive,joy
meta,19685,@OryaMaqbool _ jan Sharam or haya ki qimat lagwai hai is liay to is kute ko ye seat miliy ... Har haqomat k talway chatny wala hai ye,negative,disgust
meta,16219,@ppbajpai Sir life ka ek sapna hai kabhe kisi din aap se ek mulakaat kerna log netaaon k fan hote hain mai aap ka … https//t co/IKF7nhJ3wP,neutral,others
meta,14905,RT @jaavedjaaferi @iamsrk @meezaanj @sharminsegal thank you dear Shahrukh for your love and encouragement 🤗🤗🤗❤️,positive,joy
meta,13262,@sbond9884 @ANI mere Bhai yah Shariyath tho pahele se hi india may sirf Muslims ke liyah hai aur rahegi inshallah .… https//t.co/wEBWJSBMYJ,positive,joy
meta,33719,@BeingSalmanKhan # BharatThisEid # Bharat # loveuSalman 💋 superb look very handsome https//t co/KmqDSbNxvF,positive,joy
meta,30635,@SaLeEmK92213342 or bohat Pakhtono ko Pashtunistaan ka nasha charha howa hai aj kal hosh mein a jao wrna sach ki mar parhe gi is bar,negative,anger
meta,26753,Dhup Aarti Shri Sai Baba Mandir Shirdi 31 May 2019 Baba Bless all with all the happiness of the world Om Sai Ram … https//t.co/QKcfkFXuI0,positive,joy
meta,9677,@AmitShah Amit Shah Ji please Jet Airways ke employee ke bare mein kuch kariye Parivar wale bahut pareshan hai bhukhe Mar rahe hain,positive,sadness
meta,20043,@Wabbasi007 abroad property rakh kr chhupane wal respectfull hota he ... Aqam ne Panama ... Harami waseem abbasi,negative,anger
meta,27049,@anup081 @timesofindia @RahulGandhi Respected rahul sir dont disappoint you U r a great leader Aap ki soch aap … https//t co/ycvQeBNOUA,positive,others
meta,19215,@SearchUser _ same 😂 did you watch the BET ON ME perf ?? The choreo is kinda sexy but it fit Shihyun so much,positive,joy
meta,4647,Jay Bajrang Bali https//t co/Df2w04GIKi,positive,joy
meta,41076,@Shahidholicwrld Good wala to sahi h thora bt bad ka last ajib h 😂,neutral,others
meta,4034,@MirSahi13615940 @ShanNayakk Haramzade hamare tukdo pe palta hai hamein aakh dikhata hai ... kutte tu pagal ho gaya … https//t.co/nRQ55gHy1h,negative,anger
meta,25360,RT @GanguliShrabani Haaye ..... Entry ho toh aisi ..... # HeroWaliEntry Best part of today's episode !! # ShaheerSheikh # YehRishteyHainPyaar …,positive,joy
meta,33442,@prisitanshu @Navjot _ SSidhu @sherryontopp @TajinderBagga @MajorPoonia @KapilMishra _ IND @INCIndia @BJP4India Inse na ho payega,negative,others
meta,24139,@iamsrk My 12 year old declared her record of watching Badshah on TV50 times.Claims to be your biggest fan.She do … https//t.co/cD0afeE6eH,neutral,others
meta,18846,@yadavdimples Nahi mut sorry health department sare hospital band karo Sab ko pehle dhar ka gaumutra do Sab bimari … https//t co/lLFzkMqLXB,negative,sadness
meta,29030,main priyanka prakash modi dada ki poti ..... main unse kehna chahti hun ki is baar mere dada ye v sapat le ki dahej … https//t.co/6FmNvXg7rT,positive,others
meta,22594,RT @hamzaahmad73 It's not easy to make it easy ❤❤ Love u @igippygrewal bhaji Hanji kida lagy movie # ChandigarhAmritsarChandigarh jina ny nh …,positive,joy
meta,12417,@sardanarohit @aajtak Sir ye election commision ko gali nai de rhe Ye govt Employee ko gali de rhe Jo election krata hai,neutral,others
meta,31335,@MixedRaita Tu bahut pitega ak din be chutiye .... sale teri himmat kaise hui voters ko idiots bolne ki ..... abe ujde … https//t.co/JEJwklqa08,negative,anger
meta,39578,@PMOIndia hi pmo good morning modi ji se ek binti hai hum log facbook pe unke liye din raat lage rahe modi ji k par … https//t.co/uaXkObLyWj,neutral,others
meta,36320,RT @AnmolRatanbhar1 🔝 ( Salman khan ) (✖╭╮✖) Best fight (✖╭╮✖) scene 〣( ºΔº )〣 movie ~ See @thismagazine 🔝 Instagram photo by (✖╭╮✖)🔝 @baghda …,positive,others
meta,14490,@FoujiDil mderchod bhartye sainik likhta h ..... hrami aulad hindu hogya bs desh bhakt ho gaya kisi bhi gali teri may … https//t.co/cX1xa9fOkR,negative,anger
meta,7639,@atram _ shatram Arey ye meri Didi depressed Ho gyi 😨😨😨😨😨 Bechari Chlo 5 din me rr to band hoga Aur ye tweets kuki mjh … https//t co/tW4kBM31qM,neutral,others
meta,37806,RT @AlinaAdyl Chalo goiz 1000 followers hogye hain ab mujhy unfollower mt krna warna Allah pochy ga tum logo ko muslmano 😂 Jisko FOllow ba …,neutral,others
meta,27128,RT @binsiii Google isn ’ t your best friend when you ’ re sick belie walie haiiiiiii,neutral,others
meta,18904,Narendra Damodar Modi ji All the best Vadnagar ke kamalka banshiwala Shubh ho apka e jatra,positive,joy
meta,1681,talented as you ! I thank god for creating such a perfect and generous person 🥰 I pray that you will continue to b … https//t co/aCTOiBtAmc,neutral,joy
meta,28730,Sach keh raha hai deewana dil dil na kisi se lagana.Jhoothe hai pyaar ke waade sare jhoothi hai pyaar ki kasme … https//t.co/6WKLjHp6Sr,neutral,others
meta,1936,@SonyTV @SrBachchan @Naveen _ Odisha @nilamadhabpanda @001Danish Thanks sir hamara umid ahi he 🙏 jai Jagannath swami 🙏🙏,neutral,others
meta,10559,Pubg ni khelta Tiktok use ni krta Suta ni lagata Girlz ko DM ni krta Will this society accept me ?,neutral,others
meta,15663,@DrJitendraSingh namaskar sir ji.Mere aur se aap ko ek requst hai lakhnpur se satwari chowk tak street light ka ka … https//t.co/7j07TPuLEU,positive,others
meta,22673,@chitraaum @aajtak Jo bjp ke saath nahi woh atankwadi h aour jo hindu RSS ke saath nahi woh deshdrohi hai aaj kal b … https//t.co/uey5QzvEZu,negative,sadness
meta,17068,@chitraaum Sabdo ke marham se ye gahra jakham dur nahi hoga.in bacho aur bachiyo ko bhavbhini sardhanjali aur pari … https//t.co/5vI6LfDWYc,positive,others
meta,16439,RT @cutiepai __ I'm sorry i can't say that Tailor ny eid ke kapre kharab kar diye hain 😂,neutral,others
meta,24809,@SHEIKH0599 @MilanMishra2 @WeUttarPradesh @bareillypolice @Uppolice Soch h in logo ki ghatiya jo gareebo ko mar rah … https//t.co/qP3NU4ugDd,negative,disgust
meta,12827,@PMOIndia @narendramodi Modi ji e Jiske Paas Zameen haiuse to aap Kisan Samman Nidhi Yojna Diya 6000 salana Dene Ka … https//t.co/sLaOwWWeH1,neutral,others
meta,6161,@drosliyusof @LFC Thank you so much Dato inshallah will celebrate the 6th star tonight 🙏🙏 # ynwa,neutral,joy
meta,20134,"RT @lbi _ london Join us tomorrow for the opening night of our new exhibition "" Networks of Knowledge "" showcasing the institute ’ s Library and …",neutral,others
meta,18960,@imshivam096 Tum chutiya hoo gandu cogress ..... harne wali this sub ko pata tha itne buti tarah haarnegi nahi pata hai lavde,negative,sadness
meta,2018,@BBMarathiTrolls @ColorsMarathi Arey bhau iss bar budget kaam hain na 😂 Lonavla se direct goregaon filmcity mein set laga hain 😅,positive,joy
meta,42965,@PiyushGoyal manniya goyal ji Avdhesh duby ko Jail main dal diya .. Kripya Traino main jo tte nd police ne jo loot m … https//t.co/eiwiU711PJ,negative,others
meta,21441,@Hanne _ o _ Saurus I get the intended joke it ’ s just not funny.Not my sense of humour anyway those crazy kids 😂,neutral,others
meta,32574,@yowulf Ah ! This is so cute 🥰 I love these two 😆💕,neutral,joy
meta,617,@ShikhaPathak18 @SuPriyoBabul @MamataOfficial Jai Shree Ram mamtaji pranam AAP seen mukhya mantri bank the Aashirwad Jai Shree ram,neutral,others
meta,20345,@RailwaySeva @dr _ abhi _ voice @drm _ kir I proud where I'm from love you modi ji finally you make digital india,positive,joy
meta,39591,' baten khtam hi ni hoti '' to '' baat hi ni hoti '' wali journey is less hurting than when they ask you to leave for no reason.,neutral,others
meta,7613,@MamataOfficial O hello kaun ho aap What is your identity out side west Bengal Through out the country and in the … https//t.co/urPxZ0WdbZ,negative,anger
meta,38713,@AcharyaPramodk Pramod tum ko Acharya ki padvi kis ne di.Gadhe ko acharya nahi Bol sakte.Tumko to ye ek kissa mal … https//t.co/KKxy31sFdH,negative,disgust
meta,35265,@kamaalrkhan Bhai Ajay didn ’ t have good last few movies point taken @akshaykumar is doing great with continuous … https//t.co/FmGlUqdNsb,positive,others
meta,15010,@anilvijminister sir meri Wife KO 1hafta ho gya hospital ke chakker lagate abi tk doctor ne koi medisen nhi di aur … https//t co/Ij2ZSJx0Lx,neutral,sadness
meta,34399,@saidalammahsud Kutty harami namak haramii gooo back to afgan,negative,anger
meta,266,@asadowaisi @PMOIndia Mp me govt kamalnath ki h ... Wese ek or video viral h jisme aapke shantidut bhai ek dukandar … https//t.co/doLm3ODDCs,negative,others
meta,16713,@sardesairajdeep Besharam kitna baar tappad kayega ! Tumara anti national hindu Muslim dukan bhand hogaya ! Bunt … https//t co/Eo6zLrqMAV,negative,disgust
meta,28907,@vikasbha Fake video.Andh bhakts are forced to circulate to increase popularity rate.,negative,others
meta,22798,Love the smell of air back at home ! # Dharan,positive,joy
meta,26042,@pepsi Hell yeah ! Does this mean Pepsi Vanilla is coming back ? I miss it so much !,neutral,others
meta,36095,@ZeeNewsHindi digwijay ji ko to aise hi chunaw me harne ka tension ab dusra bhi tension de gya is sant ne wo ye ki … https//t.co/pS9yprJ8w0,neutral,others
meta,23804,RT @BhatnagarBrij She's So Happy 😭❤️❤️ # HappyBirthdaySonakshiSinha https//t.co/xf95ymtTPy,positive,joy
meta,14239,@jewar _ airport Vimlesh ji .. Yeh Apna vada nahi nibha rahe.Pehle Kaha ki .. If u purchase any land will be stamp dut … https//t.co/yhgbfSwl7C,negative,sadness
meta,21196,@TheSamirAbbas Ab hamari raksha to bhagvan hi kar sakta hai q ki jahan ka system & sarkar hi aaropiyon ko bacha rah … https//t.co/bR4OQR08fG,neutral,fear
meta,34663,Congratulations Hon.Prime Minister @narendramodi on your victory.We want ur back n now finally ur back with prachand bhumat ✌✌,positive,joy
meta,29280,@IndiaToday @sardesairajdeep Iska toh koi bhi video ya audio dekhna hi nahi hai ... bewakoof aadmi hai ye ... isne … https//t.co/qHq3I0fSx3,negative,anger
meta,31391,RT @AaliyahJay & Wtf are pretty eyes ? EYES ARE FUCKING EYES.This video is actually so annoying imagine what other ignorant shit she be s …,negative,anger
meta,37666,12 din baad Iqbal k shaheeno ko Advance eid msg send krne ka Dhora par jna 😹,neutral,others
meta,14014,Tum apni taraf aane wali takleefon ko apne gunahon ki saza mat samjhna mera Allah bohat mehrban hai Wo badle nahi l … https//t.co/uy2JiWL8E9,positive,others
meta,40785,BC light kat di abhi toh shuru bhi nahi hua match ... # UCLFinal # delhi Upar se garmi ne alag maar rakhi hai.,negative,sadness
meta,20844,@awasthis @abpnewshindi @abpnewstv Rahul Gandhi ko Chowkidar Chor hai Ka nara bhut bhari pad gya kuki wo khud bail … https//t co/yKahipYXZb,neutral,others
meta,24005,RT @meh _ Stuffs Salman will continue to fuck your chindiwaali filmfare So best of luck to you too mote bhains https//t co/SItVf1RYub,negative,anger
meta,39372,@Satyanewshi Ye sajish ho sakti hai bahut badi Ise halke na le .. sarkar aur Sena dono .. kyu bola usne Aisa isko gira … https//t.co/2l0C7qfTWz,neutral,others
meta,23837,No one better than srk His charm his personality his swag ek yessa hero jiski villain role sbse jayda popular hoti … https//t.co/m2wjKqTCpf,positive,joy
meta,23830,@AcharyaPramodk Sir ye oonki aadat may shumaar hbycot se media or deshwasion ko bhi pata chalegaki gandi naali k … https//t co/fF4fuqpAYk,negative,others
meta,42705,@KailashOnline kyu ki ye # MamataBanrjee us ravan ki tarah hai jo apne ap ko hi bhagwan samjhne lgi hai aise logo k … https//t.co/DM3IzWmbRb,negative,anger
meta,39643,@Irshadbhatti36 TOO WAQIE BOHT BRA HARAAMI HI NAHI BUL K WALDO ZINAA KI PAIDAWAAR HAI - TERI MAAN BHI TANGG TH … https//t.co/W8oaij1jhU,negative,anger
meta,10743,Congratulations To our Hounarble prime minister shri Narendar damoder dass modi ji ! Hum sabi bharat wasi yahi kaman … https//t co/K8gKC12ZMM,positive,joy
meta,38950,@10kSilverstone If you give me a free place I'll operate as official weatherman on day on your behalf haha !! (&… https//t co/KLBKOfiLIh,neutral,others
meta,12785,Kesy log ho ap yr log tumhe Pakistan ka mustakbil keh ke phir rhy aur usi Mulk ke bando ko galiya do gy Shame yrr 🤚🏻 https//t.co/Fgso5ByQ07,negative,disgust
meta,17244,@sardanarohit Agar kisika ke naam se entertainment Karke koi apna pet bharta h to usme burai Nahi h bohot sare com … https//t.co/MFUeXK2vuR,neutral,others
meta,29990,RT @rambhuraj @PiyushGoyal Rail Mantri ji tatkal WL ticket per charges 75/- kyu lagta hai ye sarkari loot band honi chayiye,negative,sadness
meta,25861,Wey ya me vales madres y neta ni siquiera lo intentes,negative,others
meta,33081,@Mizzling _ Gaze Movie bnaye gi Modi love Dolly class fifth ki kahaani,neutral,others
meta,16812,Grad Walk at @WeirElementary !! Kids are very excited to see @gofairfieldhigh and Sam Yeto graduating seniors in the … https//t co/NSEnjFFGWc,neutral,joy
meta,15664,Is it possible ?? Sabhi situatiin ko dkhne ke baad nd saari logical chz ke result ko jaannne ke baad aisa hona cha … https//t co/Z4PGeupUbp,neutral,others
meta,30624,@RahulGandhi ordinance ko tear karna bhi dictatorship hi thi.haar ko maniye aur mahnat karke agay bde nahi to pata nahi phir kya hoga,positive,others
meta,37106,@iFaheemAshraf Work hard you will come back strongly Allha has plan for you Inshallha you will rock best wishes for you,positive,joy
meta,20437,P m India shri narendra modi ji ko p m banane par bahut bahut badhai ho k k patel Advocate faizabad mb no 9838789347,positive,joy
meta,18938,@StarPlus @shrenuparikh11 @zainimam01 @ayubnasirkhan @tanvidograworld @IshaanSManhas What nonsense pehle Shrenu ko … https//t.co/kkYS1Cjtzy,negative,disgust
meta,24194,RT @WillThaRapper Fake love worse than real hate,neutral,others
meta,16052,@Pun _ Starr In gadho ko batao obama ab president president nahi hai aur usney badhai sandesh bhi nahi bheje,neutral,anger
